,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,20.0,-5.0,0.0,0.0,-5.0,-9.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.0,40.0,-5.000000000000005,0.0,-9.999999999999998,-9.999999999999998,-9.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-5.000000000000005,40.0,-5.000000000000005,0.0,-9.999999999999998,-9.999999999999996,-9.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-5.000000000000005,20.0,0.0,0.0,-9.999999999999998,-4.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-5.0,-9.999999999999998,0.0,0.0,40.0,-10.0,0.0,0.0,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-9.999999999999998,-9.999999999999998,-9.999999999999998,0.0,-10.0,80.0,-10.00000000000001,0.0,-9.999999999999996,-9.999999999999996,-10.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-9.999999999999998,-9.999999999999996,-9.999999999999998,0.0,-10.00000000000001,80.0,-10.00000000000001,0.0,-9.999999999999998,-9.999999999999996,-10.0,0.0,0.0,0.0,0.0
7,0.0,0.0,-9.999999999999998,-4.999999999999999,0.0,0.0,-10.00000000000001,40.0,0.0,0.0,-9.999999999999998,-4.999999999999997,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,-5.0,-9.999999999999996,0.0,0.0,40.0,-10.0,0.0,0.0,-5.0000000000000036,-10.0,0.0,0.0
9,0.0,0.0,0.0,0.0,-10.0,-9.999999999999996,-9.999999999999998,0.0,-10.0,80.0,-10.000000000000009,0.0,-9.999999999999998,-10.000000000000007,-10.0,0.0
10,0.0,0.0,0.0,0.0,0.0,-10.0,-9.999999999999996,-9.999999999999998,0.0,-10.000000000000009,80.0,-10.000000000000009,0.0,-9.999999999999996,-10.000000000000007,-10.0
11,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-4.999999999999997,0.0,0.0,-10.000000000000009,40.0,0.0,0.0,-9.999999999999996,-5.0000000000000036
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0000000000000036,-9.999999999999998,0.0,0.0,20.0,-4.999999999999997,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.000000000000007,-9.999999999999996,0.0,-4.999999999999997,40.0,-5.000000000000002,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.000000000000007,-9.999999999999996,0.0,-5.000000000000002,40.0,-5.000000000000002
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0000000000000036,0.0,0.0,-5.000000000000002,20.000000000000004
